  unhandled argument: C:\Users\vitor\Documents\MIEI\Visualização e Iluminação 1\Trabalho Prático\bin_x64\Release\gl_commandlist_basic.exe
DEVICE: GeForce_GTX_1650
vsync: on
scene.vert.glsl ...
scene.frag.glsl ...
scene.vert.glsl ...
scene.geo.glsl ...
scene.frag.glsl ...
 Timer Frame;	 GL    6692; CPU   8226; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      3; (microseconds, avg 128)
  Timer Draw;	 GL    6589; CPU    322; (microseconds, avg 128)
  Timer Blit;	 GL      84; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   7874; (microseconds, avg 128)

 Timer Frame;	 GL    6476; CPU   8157; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      3; (microseconds, avg 128)
  Timer Draw;	 GL    6405; CPU    282; (microseconds, avg 128)
  Timer Blit;	 GL      52; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   7850; (microseconds, avg 128)

 Timer Frame;	 GL    6611; CPU   8262; (microseconds, avg 91)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 91)
  Timer Draw;	 GL    6534; CPU    282; (microseconds, avg 91)
  Timer Blit;	 GL      57; CPU      0; (microseconds, avg 91)
  Timer GUI;	 GL       6; CPU   7953; (microseconds, avg 91)

 Timer Frame;	 GL    6530; CPU   8265; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6448; CPU    281; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   7958; (microseconds, avg 128)

 Timer Frame;	 GL    6519; CPU   8274; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6436; CPU    248; (microseconds, avg 128)
  Timer Blit;	 GL      62; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       7; CPU   8002; (microseconds, avg 128)

 Timer Frame;	 GL    6440; CPU   8275; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6360; CPU    256; (microseconds, avg 128)
  Timer Blit;	 GL      60; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   7994; (microseconds, avg 128)

 Timer Frame;	 GL    6390; CPU   8265; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6311; CPU    257; (microseconds, avg 128)
  Timer Blit;	 GL      59; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   7985; (microseconds, avg 128)

 Timer Frame;	 GL    6517; CPU   8281; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6434; CPU    250; (microseconds, avg 128)
  Timer Blit;	 GL      63; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   8007; (microseconds, avg 128)

 Timer Frame;	 GL    6525; CPU   8268; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6443; CPU    262; (microseconds, avg 128)
  Timer Blit;	 GL      61; CPU      0; (microseconds, avg 128)
  Timer GUI;	 GL       6; CPU   7981; (microseconds, avg 128)

 Timer Frame;	 GL    6545; CPU   8281; (microseconds, avg 128)
  Timer Setup;	 GL       7; CPU      2; (microseconds, avg 128)
  Timer Draw;	 GL    6461; CPU    251; (microseconds, avg 128)
  Timer Blit;	 GL      63; CPU      0; (microseconds, avg 128)
